Ano (data);País;Região;Estado;Estado sigla;Município (Municípios);Município Estado;Latitude;Longitude;Espécie florestal;Área (ha)
31/12/2015;Brasil;Norte;Rondônia;RO;Alto Alegre dos Parecis;Alto Alegre dos Parecis (RO);-12,59;-61,88;Outras espécies;8
31/12/2016;Brasil;Norte;Rondônia;RO;Alto Alegre dos Parecis;Alto Alegre dos Parecis (RO);-12,59;-61,88;Outras espécies;11
31/12/2014;Brasil;Norte;Rondônia;RO;Alto Paraíso;Alto Paraíso (RO);-9,649;-63,39;Eucalipto;0
31/12/2015;Brasil;Norte;Rondônia;RO;Alto Paraíso;Alto Paraíso (RO);-9,649;-63,39;Eucalipto;0
31/12/2016;Brasil;Norte;Rondônia;RO;Alto Paraíso;Alto Paraíso (RO);-9,649;-63,39;Eucalipto;0
31/12/2014;Brasil;Norte;Rondônia;RO;Alto Paraíso;Alto Paraíso (RO);-9,649;-63,39;Pinus;0
31/12/2015;Brasil;Norte;Rondônia;RO;Alto Paraíso;Alto Paraíso (RO);-9,649;-63,39;Pinus;0
31/12/2016;Brasil;Norte;Rondônia;RO;Alto Paraíso;Alto Paraíso (RO);-9,649;-63,39;Pinus;0
31/12/2014;Brasil;Norte;Rondônia;RO;Alto Paraíso;Alto Paraíso (RO);-9,649;-63,39;Outras espécies;723
31/12/2015;Brasil;Norte;Rondônia;RO;Alto Paraíso;Alto Paraíso (RO);-9,649;-63,39;Outras espécies;665
31/12/2016;Brasil;Norte;Rondônia;RO;Alto Paraíso;Alto Paraíso (RO);-9,649;-63,39;Outras espécies;909
31/12/2014;Brasil;Norte;Rondônia;RO;Cacaulândia;Cacaulândia (RO);-10,33;-62,99;Eucalipto;0
31/12/2015;Brasil;Norte;Rondônia;RO;Cacaulândia;Cacaulândia (RO);-10,33;-62,99;Eucalipto;0
31/12/2016;Brasil;Norte;Rondônia;RO;Cacaulândia;Cacaulândia (RO);-10,33;-62,99;Eucalipto;0
31/12/2014;Brasil;Norte;Rondônia;RO;Cacaulândia;Cacaulândia (RO);-10,33;-62,99;Pinus;0
31/12/2015;Brasil;Norte;Rondônia;RO;Cacaulândia;Cacaulândia (RO);-10,33;-62,99;Pinus;0
31/12/2016;Brasil;Norte;Rondônia;RO;Cacaulândia;Cacaulândia (RO);-10,33;-62,99;Pinus;0
31/12/2014;Brasil;Norte;Rondônia;RO;Cacaulândia;Cacaulândia (RO);-10,33;-62,99;Outras espécies;50
31/12/2015;Brasil;Norte;Rondônia;RO;Cacaulândia;Cacaulândia (RO);-10,33;-62,99;Outras espécies;45
31/12/2016;Brasil;Norte;Rondônia;RO;Cacaulândia;Cacaulândia (RO);-10,33;-62,99;Outras espécies;62
31/12/2014;Brasil;Norte;Rondônia;RO;Castanheiras;Castanheiras (RO);-11,47;-61,88;Eucalipto;0
31/12/2015;Brasil;Norte;Rondônia;RO;Castanheiras;Castanheiras (RO);-11,47;-61,88;Eucalipto;0
31/12/2016;Brasil;Norte;Rondônia;RO;Castanheiras;Castanheiras (RO);-11,47;-61,88;Eucalipto;0
31/12/2014;Brasil;Norte;Rondônia;RO;Castanheiras;Castanheiras (RO);-11,47;-61,88;Pinus;0
31/12/2015;Brasil;Norte;Rondônia;RO;Castanheiras;Castanheiras (RO);-11,47;-61,88;Pinus;0
31/12/2016;Brasil;Norte;Rondônia;RO;Castanheiras;Castanheiras (RO);-11,47;-61,88;Pinus;0
31/12/2014;Brasil;Norte;Rondônia;RO;Castanheiras;Castanheiras (RO);-11,47;-61,88;Outras espécies;106
31/12/2015;Brasil;Norte;Rondônia;RO;Castanheiras;Castanheiras (RO);-11,47;-61,88;Outras espécies;101
31/12/2016;Brasil;Norte;Rondônia;RO;Castanheiras;Castanheiras (RO);-11,47;-61,88;Outras espécies;138
31/12/2014;Brasil;Norte;Rondônia;RO;Mirante da Serra;Mirante da Serra (RO);-11,08;-62,85;Eucalipto;0
31/12/2015;Brasil;Norte;Rondônia;RO;Mirante da Serra;Mirante da Serra (RO);-11,08;-62,85;Eucalipto;0
31/12/2016;Brasil;Norte;Rondônia;RO;Mirante da Serra;Mirante da Serra (RO);-11,08;-62,85;Eucalipto;0
31/12/2014;Brasil;Norte;Rondônia;RO;Mirante da Serra;Mirante da Serra (RO);-11,08;-62,85;Pinus;0
31/12/2015;Brasil;Norte;Rondônia;RO;Mirante da Serra;Mirante da Serra (RO);-11,08;-62,85;Pinus;0
31/12/2016;Brasil;Norte;Rondônia;RO;Mirante da Serra;Mirante da Serra (RO);-11,08;-62,85;Pinus;0
31/12/2014;Brasil;Norte;Rondônia;RO;Mirante da Serra;Mirante da Serra (RO);-11,08;-62,85;Outras espécies;120
31/12/2015;Brasil;Norte;Rondônia;RO;Mirante da Serra;Mirante da Serra (RO);-11,08;-62,85;Outras espécies;120
31/12/2016;Brasil;Norte;Rondônia;RO;Mirante da Serra;Mirante da Serra (RO);-11,08;-62,85;Outras espécies;164
31/12/2014;Brasil;Norte;Rondônia;RO;Monte Negro RO;Monte Negro (RO);-10,21;-63,37;Eucalipto;0
31/12/2015;Brasil;Norte;Rondônia;RO;Monte Negro RO;Monte Negro (RO);-10,21;-63,37;Eucalipto;0
31/12/2016;Brasil;Norte;Rondônia;RO;Monte Negro RO;Monte Negro (RO);-10,21;-63,37;Eucalipto;0
31/12/2014;Brasil;Norte;Rondônia;RO;Monte Negro RO;Monte Negro (RO);-10,21;-63,37;Pinus;0
